pair,issues,first,last,rows,gaps,max_gap,funding_first,funding_unmatched_by_mark,mark_missing_hours
0G_USDT_USDT,,2025-09-17 15:45:00+00:00,2026-08-31 23:55:00+00:00,100323,0,0 days 00:05:00,2025-09-17 16:00:00+00:00,0,0
1000000MOG_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
1000BONK_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
1000CAT_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
1000CHEEMS_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
1000FLOKI_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
1000LUNC_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
1000PEPE_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
1000RATS_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
1000SATS_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
1000SHIB_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
